,name,has_test,response_letter_required,published_at,archived,alternate_url,id,trusted,from,to,currency,gross,raw,lat,lng,responsibility,requirement,metro,role
78,Тестировщик 1С,False,False,2024-06-06T12:32:54+0300,False,https://hh.ru/vacancy/101417305,full,True,,,,,,,,"Анализировать требования, составлять план тестирования, писать тест кейсы. Проводить автоматизированное функциональное и нефункциональное тестирование решения на базе платформы 1С...","Владеет стеком: 1С:Предприятие 8, 1С Конфигуратор, Vanessa, SonarQube, Gitlab, PostgresPro 12. Имеет успешный опыт в тестировании решений...",,Тестировщик
79,DevOps Engineer (Junior),True,False,2024-06-05T13:55:41+0300,False,https://hh.ru/vacancy/98499919,full,True,,,,,,,,"Обеспечение бесперебойной работы сервисов. Настройка и поддержка систем мониторинга и сбора логов. Обработка инцидентов, восстановление после сбоев. Предупреждение и реагирование...","Опыт с Docker и Ansible. Знание скриптовых языков - Bash, <highlighttext>Python</highlighttext>. Опыт работы с системами CI/CD (минимальный). Опыт работы с...",Балтийская,Системный администратор
80,Product Analyst,False,False,2024-06-05T18:59:45+0300,False,https://hh.ru/vacancy/96750838,full,True,,,,,,,,"Исследовать взаимодействия клиента с продуктом. Создавать/поддерживать в актуальном состоянии системы данных / дерева метрик, которые покрывают весь необходимый объем информации. ","Знание подходов к сегментации клиентов (ABC, RFM и пр.). Опыт менторства, и онбординга. Опыт использования <highlighttext>Python</highlighttext>/R для анализа данных. ",,Продуктовый аналитик
81,Senior Go developer в Yandex Data Transfer,False,False,2024-06-05T19:31:14+0300,False,https://hh.ru/vacancy/101370193,full,True,,,,,,,,"Переносить ваши базы данных в облако — как в сервисы управляемых баз данных, так и в собственные инсталляции на базе Yandex...","Знаете алгоритмы и структуры данных. Пишете надёжный код, умеете исследовать сложные проблемы, работать в команде и доводить дело до конца. ",,"Программист, разработчик"
82,Head of DUTY,False,False,2024-06-06T12:54:30+0300,False,https://hh.ru/vacancy/101419791,full,True,,,,,,,,"Управление командой системных администраторов, 11 человек (дежурная смена 24/7). Контроль и улучшение SLA и других метрик (проведение регулярной аналитики...","Способность понимать глобальные цели компании и фокусироваться на результат. Опыт построения метрик эффективности и проектирование репортинга. Опыт <highlighttext>Python</highlighttext>, C++.",,DevOps-инженер
83,Руководитель отдела аналитики и развития,False,False,2024-06-06T11:26:00+0300,False,https://hh.ru/vacancy/101409326,full,True,,,,,"Санкт-Петербург, улица Салова",59.885056,30.369713,"Составление ТЗ, постановка задач разработчикам совместно с ИТ отделом. Анализ потребностей по оптимизации и автоматизации внутренних процессов ГК. ","Работа в Б24. Умение писать макросы, использовать Power Query, Power BI, <highlighttext>Python</highlighttext>, SQL для обработки данных, их анализа и...",Бухарестская,Руководитель отдела аналитики
84,Middle Data analyst,False,False,2024-06-05T08:44:32+0300,False,https://hh.ru/vacancy/90495132,full,True,,,,,"Санкт-Петербург, Лахтинская улица, 16",59.962347309195486,30.30060772883475,"Работаешь с DWH, Data Lakes.","Знаешь и используешь язык <highlighttext>Python</highlighttext>. Понимаешь базовые структуры данных (список, словарь, кортеж). Понимаешь принципы работы PySpark и связки с Apache...",Петроградская,"BI-аналитик, аналитик данных"
85,Программист 1С,False,False,2024-06-06T14:38:10+0300,False,https://hh.ru/vacancy/101432759,full,True,190000.0,210000.0,RUR,True,,,,"Доработкой и сопровождением существующих информационных систем на платформе 1С, в т.ч. созданных с нуля конфигураций. Разработкой новых функциональных...","Опыт работы программистом 1С от 3-х лет. Опыт работы в проектах по внедрению новых систем, в т.ч. ",,"Программист, разработчик"
86,Computer Vision Engineer Radar (ADAS),False,False,2024-06-05T12:22:14+0300,False,https://hh.ru/vacancy/101336086,full,True,,,,,"Санкт-Петербург, проспект Медиков, 3",59.969232,30.316281,"Имплементация и обучение моделей для оценки окружающей обстановки (3D Detection \ Tracking) с использованием данных с радара, а также фузии...",Опыт программирования на <highlighttext>Python</highlighttext>3. Умение писать качественный и легкочитаемый код. Опыт работы с Deep Learning Computer Vision (мы используем...,Петроградская,"Программист, разработчик"
87,Team Lead системной разработки в Yandex Cloud,False,False,2024-06-05T19:27:57+0300,False,https://hh.ru/vacancy/99715206,full,True,,,,,,,,"Вам предстоит проектировать и реализовывать новые компоненты системы, быть играющим тренером — принимать личное участие в разработке. - Работать с командой. ","Имеете опыт системной разработки (базы данных, ядро Linux). Уверенно знаете Go, <highlighttext>Python</highlighttext>, Java или C++. Имеете опыт эксплуатации нагруженных систем...",,"Программист, разработчик"
88,Computer Vision Engineer Lidar (ADAS),False,False,2024-06-05T12:18:24+0300,False,https://hh.ru/vacancy/101335784,full,True,,,,,"Санкт-Петербург, проспект Медиков, 3",59.969232,30.316281,"Имплементация и обучение моделей для оценки окружающей обстановки (3D Detection \ Segmentation \ Tracking) с использованием данных с лидара, а также...",Опыт программирования на <highlighttext>Python</highlighttext>3. Умение писать качественный и легкочитаемый код. Опыт работы с Deep Learning Computer Vision (мы используем...,Петроградская,"Программист, разработчик"
89,Инженер по администрированию инфраструктуры информациоонных систем и веб приложений,False,False,2024-06-05T17:19:19+0300,False,https://hh.ru/vacancy/99058177,full,True,180000.0,,RUR,True,"посёлок Шушары, территория Пулковское, Петербургское шоссе, 64к1",59.763054,30.357056,"Конфигурация и администрирование систем мониторинга нагрузки и доступности веб сервисов (Prometheus, Grafana, Zabbix). Написание скриптов <highlighttext>Python</highlighttext>, Bash для автоматизации, мониторинга...","Знание принципов организации, состава и схемы работы операционных систем семейства Linux на уровне продвинутого администратора. Понимать принцип работы стека протокола...",,Системный администратор
90,Менеджер по работе с блогерами (телеграм),False,False,2024-06-06T16:15:24+0300,False,https://hh.ru/vacancy/90881552,full,True,50000.0,,RUR,False,,,,Подбирать телеграм-каналы под задачи рекламной кампании. Лидогенерация. Искать контакты инфлюенсеров и связываться с ними. Проводить переговоры с блогерами и...,Опыт работы с блогерами от 1 года. Опыт работы с лидогенерацией через телеграм. Знать тренды и ярких представителей. ,,"Менеджер по маркетингу, интернет-маркетолог"
91,Разработчик на C++ (Computer Vision) в Маркет,False,False,2024-06-05T12:41:33+0300,False,https://hh.ru/vacancy/101337904,full,True,,,,,,,,"Разрабатывать систему интеллектуальной видеоаналитики, работающей на складском роботе. Автоматизировать процесс ручной инвентаризации (разработка приложения для сканирования регистрации результатов распознавания каждого...","Уверенно знаете C++ (у нас используется 17 стандарт), STL и базовые алгоритмы. Умеете проектировать системы, знаете паттерны проектирования и подходы...",,"Программист, разработчик"
92,GO-разработчик,False,False,2024-06-05T15:35:03+0300,False,https://hh.ru/vacancy/89745673,full,True,,,,,"Санкт-Петербург, Смольная набережная, 8",59.952862,30.396294,Разработка и настройка корпоративных сервисов. Решение вопросов отказоустойчивости и производительности сервисов. Участие в проектировании архитектуры развития сервисов совместно с архитектором. ,"Опыт работы с Docker. Опыт работы с RabbitMQ/Kafka. Опыт работы c PostgreSQL/MongoDb. Знание языков программирования (Go, <highlighttext>Python</highlighttext>).",,"Программист, разработчик"
93,Менеджер по работе с блогерами,False,False,2024-06-06T16:15:24+0300,False,https://hh.ru/vacancy/98952800,full,True,50000.0,120000.0,RUR,False,,,,Подбирать телеграм-каналы под задачи рекламной кампании. Проводить переговоры с блогерами и администраторами каналов об условиях размещения. Полностью вести проекты...,Опыт работы с блогерами от 1 года. Опыт работы с лидогенерацией через телеграм. Знать тренды и ярких представителей. ,,"Менеджер по маркетингу, интернет-маркетолог"
94,DevOps-инженер,False,False,2024-06-05T13:31:38+0300,False,https://hh.ru/vacancy/101343251,full,True,300000.0,,RUR,False,"Санкт-Петербург, набережная реки Волковки, 17",59.909071,30.362572,"Внедрение и сопровождение процессов автоматизированной интеграции, тестирования и развертывания ПО. Экспертная поддержка при решении проблем в работе программной части и...",Опыт развертывания и сопровождения микросервисной архитектуры. Опыт построения CI/CD pipelines. Экспертность в области Linux-систем и сетевого протокола (умение...,Обводный Канал,DevOps-инженер
95,Low-code разработчик (российская продуктовая ИТ-компания),False,False,2024-06-05T11:02:29+0300,False,https://hh.ru/vacancy/96793339,full,True,50000.0,80000.0,RUR,False,,,,"Настройка и администрирование платформы с использованием внутренних инструментов веб-приложения. Написание SQL-запросов разного уровня сложности. Разработка отчётов, дашбордов, настройка...","Будет плюсом опыт написания кода на скриптовом языке программирования – JS, <highlighttext>Python</highlighttext>, LUA. Будет плюсом опыт работы с HTML, CSS – базовые...",,"Программист, разработчик"
96,Старший разработчик (middle/senior),False,False,2024-06-05T12:03:13+0300,False,https://hh.ru/vacancy/96619418,full,True,,,,,,,,"Разработка статико-динамического анализатора программ (Node.js, PHP, <highlighttext>Python</highlighttext>) с использованием в том числе symbolic execution. Разработка фаззера для поиска уязвимостей...","Опыт работы на аналогичной должности не менее 2 лет. Знания теории статического анализа программ, знание теории security-aware фаззинга программ. ",,"Программист, разработчик"
97,DevOps инженер,False,False,2024-06-05T09:34:10+0300,False,https://hh.ru/vacancy/101316995,full,True,,,,,,,,Написание и поддержка скриптов автосборки и деплоя на среды тестирования и промышленного использования. Написание и поддержка специальных скриптов и джобов...,"Опыт работы с контейнерами и системами их оркестрации (Docker/Kubernetes/OpenShift). Навыки в программировании (напр., <highlighttext>python</highlighttext>/groovy). Основы сетей. ",,DevOps-инженер
98,Системный аналитик (Junior),False,False,2024-06-05T16:37:13+0300,False,https://hh.ru/vacancy/101360988,full,True,,130000.0,RUR,False,,,,Хешировать базы. Сверять файлы с паттернами. Готовить целевую аудиторию. Делать выгрузки из баз данных. Сводить финансовые результаты для взаиморасчетов. ,"...уровне сводных таблиц, соединений, анализа больших исходных файлов. Владеете SQL на уровне написания запросов к таблицам. Наличие опыта использование <highlighttext>Python</highlighttext>.",,Системный аналитик
